# k    mu    diag_Cov_Pwnw
0.0754300 0.1207000 31874.5070000
0.0755000 0.3015000 48511.7120000
0.0755000 0.5427000 29639.6690000
0.0755200 0.2412000 15353.9220000
0.0755700 0.9037000 66459.7890000
0.0756900 0.8422000 80546.5070000
0.0757800 0.3605000 82887.2790000
0.0761900 0.8367000 39038.5630000
0.0762500 0.7165000 62130.6260000
0.0762500 0.8956000 66317.9770000
0.0763800 0.9538000 42736.8200000
0.0764000 0.6556000 43978.8300000
0.0764100 0.7746000 20297.0770000
0.0764300 0.5957000 22399.3170000
0.0765400 0.5354000 23609.5770000
0.0766700 0.4157000 12085.5380000
0.0768800 0.3553000 13595.9260000
0.0769300 0.8286000 70921.3530000
0.0769500 0.4733000 24086.5000000
0.0770000 0.9461000 98057.6820000
0.0772400 0.2358000 10605.2560000
0.0772900 0.2946000 7656.1308000
0.0773600 0.8828000 43057.7940000
0.0773700 0.7650000 47893.7170000
0.0774000 1.0000000 2784795.3000000
0.0775800 0.0000000 7773.5224000
0.0775800 0.7042000 19754.9480000
0.0777100 0.6445000 16413.4970000
0.0777500 0.9370000 50856.2330000
0.0778000 0.1171000 5139.7378000
0.0778600 0.9942000 80711.2180000
0.0780200 0.5252000 23848.4510000
0.0780800 0.0583300 6646.6096000
0.0781000 0.1749000 5289.7122000
0.0781100 0.8743000 95181.8050000
0.0781700 0.4660000 23949.4350000
0.0781800 0.5824000 23091.7410000
0.0782300 0.8148000 28294.7120000
0.0784100 0.7549000 35342.8490000
0.0786000 0.9269000 66068.6540000
0.0786300 0.9844000 81111.0250000
0.0786600 0.8682000 78329.7170000
0.0787000 0.4050000 12145.8360000
0.0787300 0.6940000 48919.2150000
0.0788500 0.9734000 40117.8850000
0.0789300 0.3461000 5936.7179000
0.0789500 0.6344000 33880.4560000
0.0791700 0.2876000 22216.6560000
0.0791700 0.8052000 34843.3790000
0.0792100 0.5748000 23439.7940000
0.0794400 0.5158000 16323.6180000
0.0795800 0.7438000 56262.4350000
0.0796300 0.2287000 11651.9940000
0.0796500 0.6288000 53999.5870000
0.0796500 0.6860000 38068.7080000
0.0796500 0.8575000 49724.9510000
0.0797000 0.4570000 30081.8950000
0.0797100 0.9139000 36144.9070000
0.0799100 0.5698000 124288.4100000
0.0800400 0.9671000 183660.0400000
0.0801600 0.3408000 75945.4870000
0.0801600 0.5112000 61972.3050000
0.0801600 0.8519000 46185.8740000
0.0803400 0.7935000 26646.9000000
0.0804600 0.4527000 24372.6770000
0.0806200 0.3953000 8753.4641000
0.0806800 0.6208000 61233.0030000
0.0806800 0.9029000 133090.2400000
0.0807200 0.6768000 18955.8330000
0.0807400 0.8458000 64976.7530000
0.0807800 0.7327000 21526.5510000
0.0808100 0.5635000 26873.0230000
0.0808600 0.2815000 8328.4513000
0.0808600 0.9572000 24777.8710000
0.0810300 0.5057000 18096.0100000
0.0813400 0.6157000 20345.1630000
0.0813900 0.7832000 38520.0620000
0.0814100 0.2237000 7011.3532000
0.0814100 0.8948000 36783.6150000
0.0814300 0.1118000 4014.3686000
0.0817000 0.7245000 26378.8460000
0.0819000 0.3336000 4419.8712000
0.0819500 0.9445000 34270.5130000
0.0819500 1.0000000 861521.2600000
0.0819900 0.8330000 21838.6150000
0.0820100 0.5552000 7344.9429000
0.0820700 0.4438000 8906.2250000
0.0821600 0.7759000 46568.9430000
0.0821800 0.6648000 15919.9480000
0.0823800 0.9948000 81122.9130000
0.0824200 0.8839000 27348.2670000
0.0825200 0.6069000 15423.8400000
0.0825500 0.0000000 8455.1051000
0.0826100 0.4960000 14012.1510000
0.0826800 0.0550800 3020.7429000
0.0827600 0.1651000 4435.4199000
0.0828300 0.7146000 51430.4560000
0.0828300 0.9344000 23573.8200000
0.0828800 0.8241000 35211.5150000
0.0829200 0.2746000 5455.3429000
0.0830200 0.7678000 54845.1900000
0.0830200 0.9140000 33441.6400000
0.0831100 0.3835000 7655.2147000
0.0832700 0.9842000 26737.1050000
0.0834300 0.5458000 11806.4080000
0.0835800 0.8716000 43944.3070000
0.0837000 0.3264000 10716.5620000
0.0837100 0.6527000 25939.7330000
0.0837800 0.4348000 11811.3940000
0.0838700 0.7057000 19006.2030000
0.0838800 0.2171000 5797.3949000
0.0838900 0.9226000 21212.1310000
0.0839700 0.1084000 5995.0712000
0.0839900 0.8131000 26919.1280000
0.0842000 0.9733000 37010.7280000
0.0842400 0.4864000 11056.1640000
0.0842400 0.7566000 15399.9460000
0.0843500 0.8636000 22278.6130000
0.0843800 0.5936000 10811.7540000
0.0844100 0.3776000 11452.8590000
0.0844100 0.6473000 12712.0760000
0.0845100 0.5388000 29045.6920000
0.0845700 0.2692000 41024.0620000
0.0847700 0.8056000 45234.6660000
0.0848100 0.6979000 91769.3070000
0.0850600 0.1606000 26788.6150000
0.0850600 0.6423000 23799.1220000
0.0851200 0.3209000 26698.2850000
0.0851800 0.4811000 46893.6150000
0.0851800 0.5345000 22819.6510000
0.0851800 0.8018000 44095.2590000
0.0853900 0.6932000 20533.9870000
0.0855000 0.7455000 17259.1790000
0.0855100 0.9052000 23063.5150000
0.0855400 0.5855000 11456.2040000
0.0855800 0.8512000 51756.4100000
0.0857100 0.3719000 22175.3530000
0.0857400 0.7966000 31410.8080000
0.0857800 0.2123000 5007.5583000
0.0858600 0.9545000 41001.5870000
0.0859100 0.4240000 5974.5615000
0.0859900 0.6354000 18537.7890000
0.0860300 0.4763000 14350.3280000
0.0860500 0.2646000 5629.0968000
0.0862000 0.8451000 26408.2460000
