# k    mu    diag_Cov_Pwnw
0.0565000 0.9670000 358845.9000000
0.0565400 0.7248000 131922.0500000
0.0565600 0.8855000 202311.5400000
0.0566100 0.9852000 288268.6500000
0.0569600 0.9112000 94452.6350000
0.0570500 0.9577000 306023.0100000
0.0571700 0.8760000 211429.7400000
0.0572300 0.5569000 157842.5200000
0.0572300 0.7956000 306876.3500000
0.0575100 0.4750000 49857.5150000
0.0576400 0.0000000 7082.1378000
0.0577700 0.6305000 264125.0000000
0.0577700 0.9457000 172830.7400000
0.0578600 0.3934000 48584.3020000
0.0578600 0.8656000 193083.0800000
0.0579500 0.7071000 82981.4740000
0.0579500 0.7857000 294969.1700000
0.0579700 0.9948000 200602.8200000
0.0580100 0.3139000 26752.3020000
0.0580200 0.2355000 36994.5640000
0.0583100 0.6247000 85136.8300000
0.0583100 0.9370000 389384.0400000
0.0583700 0.5461000 51530.0510000
0.0585500 0.1556000 31603.3440000
0.0585900 0.4663000 67303.1380000
0.0586600 0.7762000 115056.4100000
0.0586600 0.8538000 436333.9900000
0.0586700 0.0776200 24805.0130000
0.0589000 0.6958000 66779.9840000
0.0591900 0.6154000 107452.7100000
0.0591900 1.0000000 1358443.0000000
0.0592600 0.9220000 149970.2600000
0.0594800 0.5358000 192947.4600000
0.0595000 0.3826000 41949.8870000
0.0595000 0.8418000 151229.7300000
0.0595400 0.3059000 74318.4590000
0.0595400 0.6882000 229622.5600000
0.0597700 0.2285000 105883.6700000
0.0598000 0.4568000 67599.6610000
0.0598300 0.7610000 186719.9100000
0.0598900 0.6082000 170525.1800000
0.0598900 0.8363000 267142.9500000
0.0600600 0.5307000 109083.7900000
0.0600600 0.7581000 300457.6000000
0.0600600 0.8339000 251756.1600000
0.0602300 0.1512000 55830.5070000
0.0604000 0.3015000 260682.9100000
0.0604000 0.9045000 417199.0800000
0.0605700 0.6013000 246289.7900000
0.0607400 0.3748000 49340.8970000
0.0607900 0.9737000 149256.4100000
0.0608000 0.6739000 95131.8740000
0.0608500 0.5238000 89002.1280000
0.0609200 0.8222000 230966.5600000
0.0609700 0.2240000 44800.8100000
0.0610200 0.8954000 112785.6400000
0.0611700 0.5955000 96605.6870000
0.0612500 0.7433000 132980.0500000
0.0614200 0.8154000 165013.7200000
0.0614200 0.9636000 234109.6800000
0.0614800 0.4443000 47130.1020000
0.0615000 0.6664000 71415.1280000
0.0618400 0.8835000 119556.3500000
0.0618600 0.2945000 30801.1180000
0.0619300 0.7352000 94440.3430000
0.0620100 0.5140000 99818.2670000
0.0620900 0.9532000 139708.7200000
0.0622100 0.8050000 77207.9490000
0.0622600 0.3656000 46777.7820000
0.0623600 0.5841000 51466.4610000
0.0625100 0.6555000 94293.3100000
0.0625900 0.8729000 340535.2300000
0.0625900 0.9456000 418669.2800000
0.0626800 0.7264000 119565.0800000
0.0627100 0.0726500 11257.7120000
0.0627200 0.9872000 161098.4600000
0.0627900 0.0000000 8367.6897000
0.0629200 0.4342000 82697.1690000
0.0629400 0.1447000 21738.7380000
0.0632500 0.7918000 868817.2800000
0.0633500 0.5750000 93625.8660000
0.0633800 0.8621000 111404.9500000
0.0634300 0.2154000 27185.8660000
0.0634400 0.5024000 36145.8740000
0.0634800 0.9324000 124768.6500000
0.0635000 0.7887000 231970.8100000
0.0636600 0.6437000 122874.4100000
0.0637400 1.0000000 2164471.6000000
0.0638200 0.8561000 133094.2900000
0.0638600 0.3565000 33483.5790000
0.0639600 0.7119000 152383.8200000
0.0639900 0.9962000 471973.0400000
0.0640300 0.2844000 30058.9510000
0.0640700 0.4264000 108773.8400000
0.0640700 0.9239000 403947.4200000
0.0642300 0.4962000 49504.5840000
0.0644500 0.7064000 76633.5740000
0.0644700 0.5650000 94928.4710000
0.0645200 0.6352000 91806.5840000
0.0647100 0.7740000 70013.7820000
0.0647100 0.8443000 326716.8900000
0.0647600 0.9139000 158183.8100000
0.0650300 0.1400000 128956.3800000
0.0650300 0.7001000 272156.7200000
0.0653000 0.9065000 278624.8200000
0.0653500 0.7664000 113546.4100000
0.0654400 0.6262000 100432.6100000
0.0655900 0.6942000 166081.1500000
0.0656200 0.3469000 58759.4460000
0.0656200 0.4163000 43699.2810000
0.0656200 0.8326000 63014.1030000
0.0657000 0.4851000 104746.5900000
0.0658400 0.5532000 46149.4870000
0.0659000 0.8982000 220782.5500000
0.0659800 0.9661000 250038.6400000
0.0660600 0.7582000 162146.5600000
0.0662900 0.8242000 301957.4000000
0.0663500 0.2059000 18862.8460000
0.0664500 0.6167000 60493.2590000
0.0665000 0.2739000 29224.5840000
0.0666000 0.5469000 59232.8620000
0.0666700 0.9561000 136166.0900000
0.0666800 0.6828000 94014.5630000
0.0668100 0.8859000 229773.7900000
0.0671000 0.8142000 86620.7630000
0.0671000 0.9771000 118207.6300000
0.0671200 0.4748000 36347.9460000
0.0672800 0.7444000 181120.7300000
0.0673400 0.4057000 39585.0740000
0.0675000 0.6745000 86575.2590000
0.0675800 0.6064000 153991.3800000
0.0676000 0.8756000 87997.3720000
0.0676500 0.0000000 13329.6000000
0.0676900 0.9417000 228675.6700000
0.0677200 0.1345000 17684.9330000
0.0678000 0.0671900 17610.0620000
0.0678900 0.3354000 21297.2760000
0.0680200 0.5355000 112168.2800000
0.0680600 0.7359000 33720.7690000
0.0680700 0.9365000 189414.1000000
0.0681900 0.8012000 251691.3900000
0.0683000 1.0000000 1973606.6000000
0.0683800 0.2664000 30614.8920000
0.0683900 0.6658000 74214.8820000
0.0684600 0.9843000 112175.3800000
0.0686000 0.4646000 62841.1890000
0.0686000 0.8628000 362193.8700000
0.0686500 0.9949000 255311.7900000
0.0686900 0.5966000 40485.8360000
0.0687500 0.7947000 113334.5500000
0.0689500 0.9245000 245437.6900000
0.0690500 0.7253000 253552.5300000
